1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,139809,133976,134158,155464,165389,135430,137095,135584,134724,139809,97513,136153,139809,139809,164599,146573,146476,133955,148693,139809,146568,135711,133908,137473,139448,135000,134926,134481
139809,0,21789,17941,20109,53273,19454,19162,22240,22406,0,54392,19726,0,0,52483,33625,33677,23848,15633,0,33620,19602,21054,23579,37569,25234,21632,21864
133976,21789,0,5303,26221,35594,4100,5855,1971,905,21789,76097,4231,21789,21789,34804,15599,15651,2061,19450,21789,15594,4089,720,3729,16367,3444,1391,953
134158,17941,5303,0,22707,39385,3861,5105,5840,5994,17941,72031,4584,17941,17941,38595,19390,19442,7361,15936,17941,19385,4141,4567,7928,21670,8747,5219,5377
155427,20109,26184,22670,0,47889,22372,22041,25146,25918,20109,70047,22605,20109,20109,47325,32115,32045,28242,7371,20109,32111,22519,25449,26458,40448,29628,25143,25650
165389,53273,35581,39385,47889,0,36054,35515,34218,34724,53273,107364,35654,53273,53273,1054,21445,20083,36182,45177,53273,21440,35833,35793,31931,35403,36584,34851,35063
135430,19454,4100,3861,22409,36054,0,1853,3265,3645,19454,73545,749,19454,19454,35265,16059,16112,6159,15638,19454,16055,305,3739,4598,18588,7404,2870,3377
137099,19162,5859,5105,22078,35515,1857,0,4631,5403,19162,73252,1807,19162,19162,34725,15520,15573,7917,15307,19162,15516,2005,5498,4470,18928,9162,4629,5136
135584,22240,1971,5840,25183,34218,3265,4627,0,1334,22240,76330,2885,22240,22240,33428,14223,14276,3941,18411,22240,14218,3043,1897,2723,16639,5046,896,1102
134724,22406,892,5994,25955,34724,3645,5399,1374,0,22406,76953,3775,22406,22406,33934,14729,14781,2678,19183,22406,14724,3633,1625,2859,15563,3784,774,964
139809,0,21789,17941,20109,53273,19454,19162,22240,22406,0,54392,19726,0,0,52483,33625,33677,23848,15633,0,33620,19602,21054,23579,37569,25234,21632,21864
97513,54392,76097,72031,70047,107364,73545,73252,76330,76953,54392,0,73817,54392,54392,106574,87715,87768,77645,69023,54392,87710,73693,75362,77669,93618,79277,76171,76172
136153,19726,4231,4584,22643,35654,749,1807,2885,3775,19726,73817,0,19726,19726,34864,15659,15711,6289,15871,19726,15654,527,3870,4197,18187,7534,3001,3508
139809,0,21789,17941,20109,53273,19454,19162,22240,22406,0,54392,19726,0,0,52483,33625,33677,23848,15633,0,33620,19602,21054,23579,37569,25234,21632,21864
139809,0,21789,17941,20109,53273,19454,19162,22240,22406,0,54392,19726,0,0,52483,33625,33677,23848,15633,0,33620,19602,21054,23579,37569,25234,21632,21864
164599,52483,34791,38595,47325,1054,35265,34725,33428,33934,52483,106574,34864,52483,52483,0,20655,19293,35392,44387,52483,20650,35043,35003,31141,34613,35794,34061,34273
146573,33625,15586,19390,32115,21445,16059,15520,14223,14729,33625,87715,15659,33625,33625,20655,0,1777,16187,26851,33625,4,15838,15797,11935,16586,16589,14856,15068
146476,33677,15639,19442,32045,20083,16112,15573,14276,14781,33677,87768,15711,33677,33677,19293,1777,0,16239,26781,33677,1772,15890,15850,11988,16489,16641,14908,15121
133955,23848,2061,7361,28279,36182,6158,7913,3941,2678,23848,77645,6289,23848,23848,35392,16187,16239,0,21508,23848,16182,6147,2778,5332,15873,2110,3449,3011
148693,15633,19450,15936,7371,45177,15638,15307,18411,19183,15633,69023,15871,15633,15633,44387,26851,26781,21508,0,15633,26846,15785,18715,19724,33714,22894,18409,18916
139809,0,21789,17941,20109,53273,19454,19162,22240,22406,0,54392,19726,0,0,52483,33625,33677,23848,15633,0,33620,19602,21054,23579,37569,25234,21632,21864
146568,33620,15582,19385,32111,21440,16055,15516,14218,14724,33620,87710,15654,33620,33620,20650,4,1772,16182,26846,33620,0,15833,15793,11931,16581,16584,14851,15063
135711,19602,4089,4141,22556,35833,305,2001,3043,3633,19602,73693,527,19602,19602,35043,15838,15890,6147,15785,19602,15833,0,3728,4376,18367,7392,2859,3365
133908,21054,720,4567,25486,35793,3739,5493,1897,1625,21054,75362,3870,21054,21054,35003,15797,15850,2778,18715,21054,15793,3728,0,4449,17088,4164,1317,794
137473,23579,3716,7928,26495,31931,4598,4470,2723,2859,23579,77669,4197,23579,23579,31141,11935,11988,5332,19724,23579,11931,4376,4449,0,14758,6420,3370,3788
139448,37569,16355,21670,40485,35403,18588,18928,16639,15563,37569,93618,18187,37569,37569,34613,16586,16489,15873,33714,37569,16581,18367,17088,14758,0,15229,16342,16426
135000,25234,3444,8747,29665,36584,7404,9158,5046,3784,25234,79277,7534,25234,25234,35794,16589,16641,2110,22894,25234,16584,7392,4164,6420,15229,0,4549,4256
134926,21632,1391,5219,25180,34885,2870,4624,896,774,21632,76171,3001,21632,21632,34095,14890,14943,3449,18409,21632,14885,2859,1317,3370,16342,4549,0,522
134481,21864,953,5377,25687,35063,3377,5131,1102,964,21864,76172,3508,21864,21864,34273,15068,15121,3011,18916,21864,15063,3365,794,3788,16426,4256,522,0
